source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[ancestry category]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[sample matrix]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[file uri]	comment[platform]	comment[instrument]	comment[panel name]	comment[panel version]	comment[quantification unit]	comment[plate]	comment[normalization method]	comment[fraction identifier]	comment[olink panel]	comment[olink platform]	comment[npx normalization]	comment[olink lot number]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PAD000005-f01-r00038-AD37	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	38	not available	experimental sample	blood plasma	PAD000005-f01-r00038-AD37	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00039-AD38	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	39	not available	experimental sample	blood plasma	PAD000005-f01-r00039-AD38	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00040-AD39	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	40	not available	experimental sample	blood plasma	PAD000005-f01-r00040-AD39	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00041-HC1	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	41	not available	experimental sample	blood plasma	PAD000005-f01-r00041-HC1	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00042-HC2	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	42	not available	experimental sample	blood plasma	PAD000005-f01-r00042-HC2	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00043-HC3	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	43	not available	experimental sample	blood plasma	PAD000005-f01-r00043-HC3	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00044-HC4	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	44	not available	experimental sample	blood plasma	PAD000005-f01-r00044-HC4	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00045-HC5	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	45	not available	experimental sample	blood plasma	PAD000005-f01-r00045-HC5	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00046-HC6	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	46	not available	experimental sample	blood plasma	PAD000005-f01-r00046-HC6	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00047-HC7	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	47	not available	experimental sample	blood plasma	PAD000005-f01-r00047-HC7	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00048-HC8	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	48	not available	experimental sample	blood plasma	PAD000005-f01-r00048-HC8	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00049-HC9	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	49	not available	experimental sample	blood plasma	PAD000005-f01-r00049-HC9	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00050-HC10	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	50	not available	experimental sample	blood plasma	PAD000005-f01-r00050-HC10	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00051-HC11	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	51	not available	experimental sample	blood plasma	PAD000005-f01-r00051-HC11	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00052-HC12	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	52	not available	experimental sample	blood plasma	PAD000005-f01-r00052-HC12	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00053-HC13	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	53	not available	experimental sample	blood plasma	PAD000005-f01-r00053-HC13	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00054-HC14	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	54	not available	experimental sample	blood plasma	PAD000005-f01-r00054-HC14	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00055-HC15	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	55	not available	experimental sample	blood plasma	PAD000005-f01-r00055-HC15	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00056-HC16	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	56	not available	experimental sample	blood plasma	PAD000005-f01-r00056-HC16	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00057-HC17	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	57	not available	experimental sample	blood plasma	PAD000005-f01-r00057-HC17	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00058-HC18	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	58	not available	experimental sample	blood plasma	PAD000005-f01-r00058-HC18	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00059-HC19	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	59	not available	experimental sample	blood plasma	PAD000005-f01-r00059-HC19	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00060-HC20	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	60	not available	experimental sample	blood plasma	PAD000005-f01-r00060-HC20	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00061-HC21	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	61	not available	experimental sample	blood plasma	PAD000005-f01-r00061-HC21	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00062-HC22	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	62	not available	experimental sample	blood plasma	PAD000005-f01-r00062-HC22	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00063-HC23	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	63	not available	experimental sample	blood plasma	PAD000005-f01-r00063-HC23	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00064-HC24	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	64	not available	experimental sample	blood plasma	PAD000005-f01-r00064-HC24	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00065-HC25	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	65	not available	experimental sample	blood plasma	PAD000005-f01-r00065-HC25	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00066-HC26	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	66	not available	experimental sample	blood plasma	PAD000005-f01-r00066-HC26	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00067-HC27	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	67	not available	experimental sample	blood plasma	PAD000005-f01-r00067-HC27	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00068-HC28	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	68	not available	experimental sample	blood plasma	PAD000005-f01-r00068-HC28	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00069-HC29	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	69	not available	experimental sample	blood plasma	PAD000005-f01-r00069-HC29	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00070-IBD3	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	70	not available	experimental sample	blood plasma	PAD000005-f01-r00070-IBD3	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00071-IBD4	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	71	not available	experimental sample	blood plasma	PAD000005-f01-r00071-IBD4	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00072-IBD8	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	72	not available	experimental sample	blood plasma	PAD000005-f01-r00072-IBD8	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00073-IBD11	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	73	not available	experimental sample	blood plasma	PAD000005-f01-r00073-IBD11	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00074-IBD19	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	74	not available	experimental sample	blood plasma	PAD000005-f01-r00074-IBD19	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_2	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
PAD000005-f01-r00075-IBD21	Homo sapiens	Blood plasma	Ulcerative colitis; Atopic dermatitis	not available	not available	not available	not available	not available	not available	75	not available	experimental sample	blood plasma	PAD000005-f01-r00075-IBD21	protein expression profiling by antibody array	1	raw_data.npx.csv	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PAD000005/raw_data.npx.csv	Olink Target 96	not available	Olink Target 96 Inflammation	not available	NPX	plate layout_SNUCM_KHJ_1	Intensity	1	Olink Target 96 Inflammation	Olink Target 96	intensity normalized	E50006	v1.1.0	NT=affinity-proteomics;VV=v1.0.0	NT=olink;VV=v1.0.0	NT=human;VV=v1.1.0	NT=sdrf-skills-autoresearch;VV=v0.0.0
